ID,ESCOLAS_2007,ESCOLAS_2008,ESCOLAS_2009,ESCOLAS_2010,ESCOLAS_2011,ESCOLAS_2012,ESCOLAS_2013,ESCOLAS_2014
ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO,ANO_CENSO
PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE,PK_COD_ENTIDADE
NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE,NO_ENTIDADE
COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP,COD_ORGAO_REGIONAL_INEP
DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO,DESC_SITUACAO_FUNCIONAMENTO
FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO,FK_COD_ESTADO
SIGLA,SIGLA,SIGLA,SIGLA,SIGLA,SIGLA,SIGLA,SIGLA,NA
FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO,FK_COD_MUNICIPIO
ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM,ID_DEPENDENCIA_ADM
ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO,ID_LOCALIZACAO
DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA,DESC_CATEGORIA_ESCOLA_PRIVADA
ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP,ID_CONVENIADA_PP
ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP,ID_MANT_ESCOLA_PRIVADA_EMP
ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG,ID_MANT_ESCOLA_PRIVADA_ONG
ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND,ID_MANT_ESCOLA_PRIVADA_SIND
ID_MANT_ESCOLA_PRIVADA_APAE,ID_MANT_ESCOLA_PRIVADA_APAE,ID_MANT_ESCOLA_PRIVADA_APAE,NA,NA,NA,NA,NA,NA
ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO,ID_DOCUMENTO_REGULAMENTACAO
ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR,ID_LOCAL_FUNC_PREDIO_ESCOLAR
ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA,ID_LOCAL_FUNC_SALAS_EMPRESA
ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO,ID_ESCOLA_COMP_PREDIO
ID_LOCAL_FUNC_PRISIONAL,ID_LOCAL_FUNC_PRISIONAL,ID_LOCAL_FUNC_PRISIONAL,ID_LOCAL_FUNC_PRISIONAL,ID_LOCAL_FUNC_PRISIONAL,ID_LOCAL_FUNC_PRISIONAL,ID_LOCAL_FUNC_PRISIONAL,NA,NA
ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA,ID_LOCAL_FUNC_TEMPLO_IGREJA
ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR,ID_LOCAL_FUNC_CASA_PROFESSOR
ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO,ID_LOCAL_FUNC_GALPAO
ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS,ID_LOCAL_FUNC_OUTROS
ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC,ID_LOCAL_FUNC_SALAS_OUTRA_ESC
ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA,ID_AGUA_FILTRADA
ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA,ID_AGUA_REDE_PUBLICA
ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO,ID_AGUA_POCO_ARTESIANO
ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA,ID_AGUA_CACIMBA
ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO,ID_AGUA_FONTE_RIO
ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE,ID_AGUA_INEXISTENTE
ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA,ID_ENERGIA_REDE_PUBLICA
ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR,ID_ENERGIA_GERADOR
ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS,ID_ENERGIA_OUTROS
ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE,ID_ENERGIA_INEXISTENTE
ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA,ID_ESGOTO_REDE_PUBLICA
ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA,ID_ESGOTO_FOSSA
